Sample Rate: 61.5384615384615,,,,,,,,,,,
Relative Time,Date,Time Stamp Local,Cheek_Volt,Cheek_Heat Flux,Cheek_Temp ,Calf_Volt,Calf_Heat Flux,Calf_Temp,Wrst_Volt,Wrst_Heat Flux,Wrst_Temp
11.57,9/11/2024,2:37:53 PM,0.001251220703,67.48763232,34.50317383,0.001373291016,73.28127084,33.53271484,0.0009155273438,95.66638911,35.56518555
11.7,9/11/2024,2:37:53 PM,0.001098632813,59.25743325,34.53979492,0.001312255859,70.02432547,33.49609375,0.0008850097656,92.47750947,35.56518555
11.83,9/11/2024,2:37:53 PM,0.001068115234,57.61139344,34.53979492,0.001373291016,73.28127084,33.53271484,0.0008239746094,86.0997502,35.56518555
11.96,9/11/2024,2:37:53 PM,0.001037597656,55.96535363,34.53979492,0.001525878906,81.42363427,33.49609375,0.0007629394531,79.72199092,35.56518555
12.09,9/11/2024,2:37:54 PM,0.001098632813,59.25743325,34.53979492,0.00146484375,78.1666889,33.53271484,0.0009155273438,95.66638911,35.60180664
12.22,9/11/2024,2:37:54 PM,0.001129150391,60.90347306,34.53979492,0.00146484375,78.1666889,33.53271484,0.0008850097656,92.47750947,35.56518555
12.35,9/11/2024,2:37:54 PM,0.001098632813,59.25743325,34.50317383,0.001342773438,71.65279816,33.49609375,0.001007080078,105.233028,35.49194336
12.48,9/11/2024,2:37:54 PM,0.001068115234,57.61139344,34.46655273,0.001342773438,71.65279816,33.42285156,0.0007934570313,82.91087056,35.49194336
12.61,9/11/2024,2:37:54 PM,0.001007080078,54.31931381,34.46655273,0.001586914063,84.68057964,33.42285156,0.0009765625,102.0441484,35.49194336
12.74,9/11/2024,2:37:54 PM,0.001037597656,55.96535363,34.46655273,0.001525878906,81.42363427,33.42285156,0.0009765625,102.0441484,35.49194336
12.87,9/11/2024,2:37:54 PM,0.001007080078,54.31931381,34.42993164,0.00146484375,78.1666889,33.45947266,0.001007080078,105.233028,35.52856445
13,9/11/2024,2:37:55 PM,0.0009765625,52.673274,34.53979492,0.001373291016,73.28127084,33.49609375,0.0009155273438,95.66638911,35.52856445
13.13,9/11/2024,2:37:55 PM,0.001068115234,57.61139344,34.53979492,0.001312255859,70.02432547,33.49609375,0.0009765625,102.0441484,35.56518555
13.26,9/11/2024,2:37:55 PM,0.001068115234,57.61139344,34.50317383,0.00146484375,78.1666889,33.49609375,0.0009155273438,95.66638911,35.52856445
13.39,9/11/2024,2:37:55 PM,0.001068115234,57.61139344,34.50317383,0.001373291016,73.28127084,33.42285156,0.001007080078,105.233028,35.45532227
13.52,9/11/2024,2:37:55 PM,0.001220703125,65.8415925,34.42993164,0.001373291016,73.28127084,33.45947266,0.0009460449219,98.85526874,35.45532227
13.65,9/11/2024,2:37:55 PM,0.001190185547,64.19555269,34.42993164,0.00146484375,78.1666889,33.38623047,0.0008544921875,89.28862983,35.45532227
13.78,9/11/2024,2:37:55 PM,0.001037597656,55.96535363,34.42993164,0.001342773438,71.65279816,33.38623047,0.0009765625,102.0441484,35.45532227
13.91,9/11/2024,2:37:55 PM,0.001037597656,55.96535363,34.35668945,0.001495361328,79.79516159,33.38623047,0.0009155273438,95.66638911,35.45532227
14.04,9/11/2024,2:37:56 PM,0.001037597656,55.96535363,34.46655273,0.001525878906,81.42363427,33.45947266,0.0009155273438,95.66638911,35.52856445
14.17,9/11/2024,2:37:56 PM,0.001159667969,62.54951288,34.50317383,0.001586914063,84.68057964,33.53271484,0.0008850097656,92.47750947,35.52856445
14.3,9/11/2024,2:37:56 PM,0.001129150391,60.90347306,34.46655273,0.001312255859,70.02432547,33.49609375,0.0009765625,102.0441484,35.52856445
14.43,9/11/2024,2:37:56 PM,0.001159667969,62.54951288,34.50317383,0.001373291016,73.28127084,33.49609375,0.0009765625,102.0441484,35.52856445
14.56,9/11/2024,2:37:56 PM,0.001251220703,67.48763232,34.46655273,0.001434326172,76.53821622,33.45947266,0.0009460449219,98.85526874,35.52856445
14.69,9/11/2024,2:37:56 PM,0.001159667969,62.54951288,34.46655273,0.001495361328,79.79516159,33.42285156,0.0009765625,102.0441484,35.52856445
14.82,9/11/2024,2:37:56 PM,0.001159667969,62.54951288,34.50317383,0.001403808594,74.90974353,33.45947266,0.0009155273438,95.66638911,35.52856445
14.95,9/11/2024,2:37:56 PM,0.001098632813,59.25743325,34.46655273,0.001617431641,86.30905233,33.45947266,0.0009765625,102.0441484,35.52856445
15.08,9/11/2024,2:37:57 PM,0.001342773438,72.42575175,34.46655273,0.001586914063,84.68057964,33.42285156,0.0008850097656,92.47750947,35.52856445
15.21,9/11/2024,2:37:57 PM,0.001068115234,57.61139344,34.46655273,0.001373291016,73.28127084,33.34960938,0.0008239746094,86.0997502,35.45532227
15.34,9/11/2024,2:37:57 PM,0.001220703125,65.8415925,34.42993164,0.00146484375,78.1666889,33.38623047,0.001007080078,105.233028,35.45532227
